IncidntNum,Category,Descript,DayOfWeek,Date,Time,PdDistrict,Resolution,Address,X,Y,Location,PdId
130088372,VEHICLE THEFT,STOLEN AUTOMOBILE,Wednesday,10/28/2015,12:30,TARAVAL,NONE,2400 Block of OCEAN AV,-122.471004410599,37.7305910212673,"(37.7305910212673, -122.471004410599)",13008837207021
150118921,VEHICLE THEFT,STOLEN AUTOMOBILE,Saturday,02/07/2015,08:45,MISSION,NONE,300 Block of UTAH ST,-122.406558795418,37.7651783927703,"(37.7651783927703, -122.406558795418)",15011892107021
150119060,VEHICLE THEFT,STOLEN AUTOMOBILE,Saturday,02/07/2015,17:00,INGLESIDE,NONE,100 Block of BREWSTER ST,-122.407051670732,37.7446021016987,"(37.7446021016987, -122.407051670732)",15011906007021
150119123,VEHICLE THEFT,STOLEN MOTORCYCLE,Saturday,02/07/2015,23:30,INGLESIDE,NONE,700 Block of CHENERY ST,-122.435114541061,37.7347601766353,"(37.7347601766353, -122.435114541061)",15011912307023
150119173,VEHICLE THEFT,STOLEN AUTOMOBILE,Saturday,02/07/2015,15:00,NORTHERN,NONE,300 Block of STEINER ST,-122.432256333845,37.7723635199759,"(37.7723635199759, -122.432256333845)",15011917307021
150119189,VEHICLE THEFT,STOLEN TRUCK,Thursday,02/05/2015,12:00,CENTRAL,NONE,700 Block of FRONT ST,-122.39984969711,37.7982679017862,"(37.7982679017862, -122.39984969711)",15011918907025
150119424,VEHICLE THEFT,STOLEN AUTOMOBILE,Thursday,02/05/2015,14:00,INGLESIDE,NONE,600 Block of MONTEREY BL,-122.450026603043,37.7314400806123,"(37.7314400806123, -122.450026603043)",15011942407021
150119509,VEHICLE THEFT,STOLEN AUTOMOBILE,Friday,02/06/2015,14:00,PARK,NONE,PAGE ST / ASHBURY ST,-122.447123741877,37.7709342643167,"(37.7709342643167, -122.447123741877)",15011950907021
150119559,VEHICLE THEFT,STOLEN AUTOMOBILE,Sunday,02/08/2015,01:30,TARAVAL,NONE,300 Block of ORIZABA AV,-122.462680660662,37.7152511901206,"(37.7152511901206, -122.462680660662)",15011955907021
150119612,VEHICLE THEFT,STOLEN AUTOMOBILE,Saturday,02/07/2015,23:00,BAYVIEW,NONE,OLMSTEAD ST / SAN BRUNO AV,-122.401615287879,37.7228342288863,"(37.7228342288863, -122.401615287879)",15011961207021
